Study ID,Title,Short Title,Lives Touched,Lives Improved,PI,Notes,Metric 1,Metric 2,Metric 3, 
34168,Creating educational and commercial access to English language resources: using corpora for English language teaching and learning,Improving English Language and Learning,"1,334,500",0,"Professor Sidney Greenbaum, Dr Mark Huckvale and Sean Wallis",Website hits and app downloads,MEDIACOVERAGE,APPDOWNLOAD,,
34619,The Bloomsbury Project: enriching public understanding of a vibrant centre of intellectual life,The Bloomsbury Project,"1,620,135",0,Professor Rosemary Ashton,Media impact and website hits,MEDIACOVERAGE,hits,,
34620,Colonial film: moving images and the legacy of the British Empire,Colonial Film,"692,888",0,"Lee  Grieveson, Colin MacCabe","Website traffic, youtube views. Impact in terms of working with major cultural institutions",MEDIACOVERAGE,media,,
34682,Exhibiting antiquity on film,Exhibiting antiquity on film,"447,210",0,Maria Wyke,Film views and media impact. Worked with major cultural institutions,MEDIACOVERAGE,media,,
34771,The use of research-based teaching materials in political philosophy,Teaching Political Philsophy,"25,000",0,Jonathan Wolff,Lots of students are taught using these materials - not quantified but likely very large,Books sold?,,,
34804,Internationalising Dutch Studies,Internationalising Dutch Studies,0,0,Jane Fenoulhet,Big policy impact - has changed the way Dutch is studied and taught worldwide,,,,
34805,Ordinary lives in the German dictatorships: Public understanding of and education on the Third Reich and the German Democratic Republic,Ordinary Lives in the German Dictatorships,"1,268,712",0,Mary Fulbrook,Have excluded newspaper circulation figures as they are cited as monthly rather than daily readerships,MEDIACOVERAGE,,,
34806,Deepening public and media understanding of the 2012 French presidential election,Understanding the 2012 French Presidential Election,"19,951,790",0,Philippe Marliere,Almost all from media appearances on the national news in the UK,MEDIACOVERAGE,,,
34807,Nordic Noir: Engaging the public with research through the Scandinavian Crime Fiction Book Club,Nordic Noir,"214,097",0,Mary Hilson,Excluded media figures where only monthly figures are cited,MEDIACOVERAGE,,,
34808,Transforming the future of Silk Roads archaeology in Asia,The Future of the Silk Roads,0,0,Georgina Herrmann,"Huge policy impact, very difficult to quantify. Created new unesco world heritage sites",,,,
34809,Pioneering user engagement using digital methods,Innovative Digital Engagements Methods for Heritage,"34,257",0,Melissa Terras,Figure estimated on basis that each comment on the system was from a unique user. Bigger impact is probably working with the cultural institutions involved,MEDIACOVERAGE,project partners?,,
34810,Facet analysis and its influence on the major systems of library classification,Improving Library Classification Systems,"350,000",0,V Broughton,"Huge impact - new classification system that is used in libraries worldwide. Institutional impact enormous - 350,000 libraries",libraries using this system,,,
34811,Introduction of aromatase inhibitors for the treatment of breast cancer,New Treatments for Breast Cancer,"950,000",0,Jack Cuzick?,"Impact is likely much bigger than this - these the figures for the number of new breast cancer patients per year in the UK, counted since the trial began in 2002. $2.8 billion in global sales of the drug tested in the trial up to 2014, 5.5 million patient years of data",POTENTIALPATIENTS,,,
34815,Buccal midazolam: a novel treatment for generalised convulsive seizures,Better Treatment for Convulsive Seizures,"1,000,000",0,Rod Scott,Impact likely higher - drug is widely prescribed for epilepsy worldwide. Figure is for potential patients in Europe,POTENTIALPATIENTS,,,
34816,Communities and their heritages: The impact of research in participatory archives and other heritage practices,Participatory Archives in Community Heritage,"2,150",0,"Dr Andrew Flinn (2004-), with Professor Elizabeth Shepherd, Dr Mary Stevens","Big policy impact - changes in museum practices worldwide, informed the creation of a new museum in the UK",STUDYPARTICIPANTS,policy,,
34869,Trimethylaminuria is a genetic disorder,Understanding the Genetic Basis of Body Odour,316,0,Professor Elizabeth Shephard,"Bigger media impact, though not quantified. Actual numbers are likely much higher in terms of treatment",PATIENTSTREATED,,,
34903,Identification and cloning of the P2Y receptor class leads to new therapies targeting purinergic signalling,"New therapies for heart disease, stroke, conjuntivitis, chronic pain",0,0,Professor Geoffrey Burnstock,"The actual number of lives touched here is likely huge, but it's not quantified",,,,
34929,"Clinical Ethnography: Anthropological research influencing clinical practice in the US, Europe, Bhutan and Myanmar",Clinical Ethnography Improving Patient Care,0,0,Roland Littlewood,"Led to major revisions of the DSM, so likely huge impact but not quantified; big impacts on clinical practice in Myanmar and Bhutan; mitigation of the effects of national disasters",,,,
34955,The neurobiological basis of fetal awareness &#8212; impact upon recommended obstetric practice.,Understanding Fetal Awareness,"800,000",0,Maria Fitzgerald,"Big policy impact -demonstrated clinically that fetuses cannot experience pain prior to 24 weeks gestation, providing a more robust scientific underpinning for UK abortion law. Affects c. 200,000 women per year - lives touched figure is this year on year between the publication of the study in 2010 and the 2014 ref",POTENTIALPATIENTS,,,
34970,Pain relief for hospitalised infants,Pain relief for hospitalised infants,"1,960,000",0,Maria Fitzgerald,"Likely impact on all preterm babies in the UK, though figures not given ('8% of all live births'). Figure given is for media impact",MEDIACOVERAGE,POTENTIALPATIENTS,,
34975,Industrial application of computational models and experimental techniques for catalyst development and optimisation,Optimising Catalyst Development,0,0,Professor Catlow,Big economic impact - improved the production of catalysts across a range of industries. Lives figure not calculable from case study,,,,
34998,Providing the philosophical underpinnings for self-directed support in social care,Improving Self-Directed Support in Social Care,"600,000",0,Jonathan Wolff,Also big policy impact - research shaped national government policy on self-directed care. Figure is for people directing their own care through personal budgeting for the years 2012-13. Likely larger,IMPACTEDBYPOLICYCHANGE,,,
35122,Visual Mass Observation: Facilitating public engagement with a new collaborative ethnography,Visual Mass Observation,"37,985",0,Michael Stewart,Media figures omitted as only monthly circulation figures given; figure therefore likely larger,MEDIACOVERAGE,,,
